descriptor_id,complaint_type
Street Condition|Pothole,Street Condition
Noise - Residential|Loud Music/Party,Noise - Residential
Noise - Street/Sidewalk|Loud Music/Party,Noise - Street/Sidewalk
For Hire Vehicle Complaint|Driver Complaint - Non Passenger,For Hire Vehicle Complaint
Noise - Residential|Banging/Pounding,Noise - Residential
Illegal Parking|Parking Permit Improper Use,Illegal Parking
Illegal Parking|Blocked Hydrant,Illegal Parking
Blocked Driveway|No Access,Blocked Driveway
Illegal Parking|Posted Parking Sign Violation,Illegal Parking
Noise - Vehicle|Car/Truck Music,Noise - Vehicle
Food Establishment|Food Spoiled,Food Establishment
Illegal Parking|Double Parked Blocking Traffic,Illegal Parking
Overgrown Tree/Branches|Hitting Building,Overgrown Tree/Branches
Damaged Tree|Branch or Limb Has Fallen Down,Damaged Tree
Drinking|In Public,Drinking
Illegal Fireworks|N/A,Illegal Fireworks
Blocked Driveway|Partial Access,Blocked Driveway
Noise - Commercial|Loud Music/Party,Noise - Commercial
Illegal Parking|Blocked Crosswalk,Illegal Parking
Noise - Street/Sidewalk|Loud Talking,Noise - Street/Sidewalk
Dirty Condition|Trash,Dirty Condition
Illegal Parking|Double Parked Blocking Vehicle,Illegal Parking
Noise - Vehicle|Car/Truck Horn,Noise - Vehicle
Illegal Tree Damage|Trunk Damaged,Illegal Tree Damage
Residential Disposal Complaint|Bin Not Used,Residential Disposal Complaint
Dead/Dying Tree|Planted More Than 2 Years Ago,Dead/Dying Tree
Illegal Parking|Commercial Overnight Parking,Illegal Parking
Litter Basket Complaint|Overflowing,Litter Basket Complaint
Overgrown Tree/Branches|Dead Branches in Tree,Overgrown Tree/Branches
Obstruction|Trash or Recycling,Obstruction
Abandoned Vehicle|With License Plate,Abandoned Vehicle
Noise - Residential|Loud Television,Noise - Residential
Noise - Residential|Loud Talking,Noise - Residential
Cannabis Retailer|Sales to Minors Under 21,Cannabis Retailer
Illegal Tree Damage|Roots Damaged,Illegal Tree Damage
Panhandling|N/A,Panhandling
Root/Sewer/Sidewalk Condition|Trees and Sidewalks Program,Root/Sewer/Sidewalk Condition
Street Condition|Cave-in,Street Condition
Consumer Complaint|Stoop Line Stand,Consumer Complaint
Animal-Abuse|Neglected,Animal-Abuse
Illegal Parking|Blocked Bike Lane,Illegal Parking
Encampment|N/A,Encampment
Non-Emergency Police Matter|Other (complaint details),Non-Emergency Police Matter
Drug Activity|Use Indoor,Drug Activity
Street Light Condition|Street Light Out,Street Light Condition
Illegal Parking|Blocked Sidewalk,Illegal Parking
Street Light Condition|Fixture/Luminaire Hanging,Street Light Condition
Dead Animal|Cat,Dead Animal
Homeless Person Assistance|Non-Chronic,Homeless Person Assistance
Noise - Vehicle|Engine Idling,Noise - Vehicle
Sidewalk Condition|Defective Hardware,Sidewalk Condition
Drug Activity|Use Outside,Drug Activity
Street Condition|Guard Rail - Street,Street Condition
Noise - House of Worship|Loud Talking,Noise - House of Worship
Illegal Parking|Overnight Commercial Storage,Illegal Parking
Homeless Person Assistance|Chronic,Homeless Person Assistance
Indoor Air Quality|Chemical Vapors/Gases/Odors,Indoor Air Quality
Street Condition|Plate Condition - Noisy,Street Condition
Lost Property|Bag/Wallet,Lost Property
Consumer Complaint|Tow Truck Company,Consumer Complaint
Non-Emergency Police Matter|Trespassing,Non-Emergency Police Matter
Damaged Tree|Branch Cracked and Will Fall,Damaged Tree
Traffic|Chronic Speeding,Traffic
Noise - Commercial|Banging/Pounding,Noise - Commercial
Sidewalk Condition|Sidewalk Violation,Sidewalk Condition
Street Condition|Defective Hardware,Street Condition
Dirty Condition|Broken Glass,Dirty Condition
Illegal Dumping|Chronic Dumping,Illegal Dumping
Illegal Dumping|Removal Request,Illegal Dumping
Food Poisoning|1 or 2,Food Poisoning
"Street Condition|Rough, Pitted or Cracked Roads",Street Condition
Indoor Air Quality|Ventilation,Indoor Air Quality
Outdoor Dining|Site Setup Condition,Outdoor Dining
Damaged Tree|Entire Tree Has Fallen Down,Damaged Tree
Noise - Commercial|Loud Talking,Noise - Commercial
Illegal Posting|Poster or Sign,Illegal Posting
Noise - House of Worship|Loud Music/Party,Noise - House of Worship
Smoking or Vaping|Allowed in Smoke Free Area,Smoking or Vaping
Drinking|After Hours - Licensed Est,Drinking
Illegal Parking|License Plate Obscured,Illegal Parking
Illegal Parking|Detached Trailer,Illegal Parking
HEAT/HOT WATER|ENTIRE BUILDING,HEAT/HOT WATER
Traffic Signal Condition|Controller,Traffic Signal Condition
Building Drinking Water Tank|Unsanitary Condition,Building Drinking Water Tank
Water System|Hydrant Running Full (WA4),Water System
Noise - Park|Loud Music/Party,Noise - Park
PAINT/PLASTER|WALL,PAINT/PLASTER
PLUMBING|BASIN/SINK,PLUMBING
FLOORING/STAIRS|FLOOR,FLOORING/STAIRS
UNSANITARY CONDITION|MOLD,UNSANITARY CONDITION
Rodent|Rat Sighting,Rodent
Damaged Tree|Tree Trunk Split,Damaged Tree
Consumer Complaint|Landlord or Real Estate Agent,Consumer Complaint
Maintenance or Facility|Structure - Outdoors,Maintenance or Facility
PAINT/PLASTER|CEILING,PAINT/PLASTER
Lead|Lead Kit Request (Residential) (L10),Lead
Noise|Noise: Alarms (NR3),Noise
Rodent|Condition Attracting Rodents,Rodent
Obstruction|Cone,Obstruction
WATER LEAK|HEAVY FLOW,WATER LEAK
DOOR/WINDOW|WINDOW FRAME,DOOR/WINDOW
GENERAL|CABINET,GENERAL
APPLIANCE|REFRIGERATOR,APPLIANCE
Violation of Park Rules|Unsafe Use of Playground,Violation of Park Rules
Noise - Park|Loud Talking,Noise - Park
Water System|Hydrant Leaking (WC1),Water System
PLUMBING|WATER SUPPLY,PLUMBING
"Noise|Noise, Barking Dog (NR5)",Noise
Wood Pile Remaining|Remove Debris,Wood Pile Remaining
PAINT/PLASTER|WINDOW/FRAME,PAINT/PLASTER
