descriptor_id,descriptor
Street Condition|Pothole,Pothole
Noise - Residential|Loud Music/Party,Loud Music/Party
Noise - Street/Sidewalk|Loud Music/Party,Loud Music/Party
For Hire Vehicle Complaint|Driver Complaint - Non Passenger,Driver Complaint - Non Passenger
Noise - Residential|Banging/Pounding,Banging/Pounding
Illegal Parking|Parking Permit Improper Use,Parking Permit Improper Use
Illegal Parking|Blocked Hydrant,Blocked Hydrant
Blocked Driveway|No Access,No Access
Illegal Parking|Posted Parking Sign Violation,Posted Parking Sign Violation
Noise - Vehicle|Car/Truck Music,Car/Truck Music
Food Establishment|Food Spoiled,Food Spoiled
Illegal Parking|Double Parked Blocking Traffic,Double Parked Blocking Traffic
Overgrown Tree/Branches|Hitting Building,Hitting Building
Damaged Tree|Branch or Limb Has Fallen Down,Branch or Limb Has Fallen Down
Drinking|In Public,In Public
Illegal Fireworks|N/A,N/A
Blocked Driveway|Partial Access,Partial Access
Noise - Commercial|Loud Music/Party,Loud Music/Party
Illegal Parking|Blocked Crosswalk,Blocked Crosswalk
Noise - Street/Sidewalk|Loud Talking,Loud Talking
Dirty Condition|Trash,Trash
Illegal Parking|Double Parked Blocking Vehicle,Double Parked Blocking Vehicle
Noise - Vehicle|Car/Truck Horn,Car/Truck Horn
Illegal Tree Damage|Trunk Damaged,Trunk Damaged
Residential Disposal Complaint|Bin Not Used,Bin Not Used
Dead/Dying Tree|Planted More Than 2 Years Ago,Planted More Than 2 Years Ago
Illegal Parking|Commercial Overnight Parking,Commercial Overnight Parking
Litter Basket Complaint|Overflowing,Overflowing
Overgrown Tree/Branches|Dead Branches in Tree,Dead Branches in Tree
Obstruction|Trash or Recycling,Trash or Recycling
Abandoned Vehicle|With License Plate,With License Plate
Noise - Residential|Loud Television,Loud Television
Noise - Residential|Loud Talking,Loud Talking
Cannabis Retailer|Sales to Minors Under 21,Sales to Minors Under 21
Illegal Tree Damage|Roots Damaged,Roots Damaged
Panhandling|N/A,N/A
Root/Sewer/Sidewalk Condition|Trees and Sidewalks Program,Trees and Sidewalks Program
Street Condition|Cave-in,Cave-in
Consumer Complaint|Stoop Line Stand,Stoop Line Stand
Animal-Abuse|Neglected,Neglected
Illegal Parking|Blocked Bike Lane,Blocked Bike Lane
Encampment|N/A,N/A
Non-Emergency Police Matter|Other (complaint details),Other (complaint details)
Drug Activity|Use Indoor,Use Indoor
Street Light Condition|Street Light Out,Street Light Out
Illegal Parking|Blocked Sidewalk,Blocked Sidewalk
Street Light Condition|Fixture/Luminaire Hanging,Fixture/Luminaire Hanging
Dead Animal|Cat,Cat
Homeless Person Assistance|Non-Chronic,Non-Chronic
Noise - Vehicle|Engine Idling,Engine Idling
Sidewalk Condition|Defective Hardware,Defective Hardware
Drug Activity|Use Outside,Use Outside
Street Condition|Guard Rail - Street,Guard Rail - Street
Noise - House of Worship|Loud Talking,Loud Talking
Illegal Parking|Overnight Commercial Storage,Overnight Commercial Storage
Homeless Person Assistance|Chronic,Chronic
Indoor Air Quality|Chemical Vapors/Gases/Odors,Chemical Vapors/Gases/Odors
Street Condition|Plate Condition - Noisy,Plate Condition - Noisy
Lost Property|Bag/Wallet,Bag/Wallet
Consumer Complaint|Tow Truck Company,Tow Truck Company
Non-Emergency Police Matter|Trespassing,Trespassing
Damaged Tree|Branch Cracked and Will Fall,Branch Cracked and Will Fall
Traffic|Chronic Speeding,Chronic Speeding
Noise - Commercial|Banging/Pounding,Banging/Pounding
Sidewalk Condition|Sidewalk Violation,Sidewalk Violation
Street Condition|Defective Hardware,Defective Hardware
Dirty Condition|Broken Glass,Broken Glass
Illegal Dumping|Chronic Dumping,Chronic Dumping
Illegal Dumping|Removal Request,Removal Request
Food Poisoning|1 or 2,1 or 2
"Street Condition|Rough, Pitted or Cracked Roads","Rough, Pitted or Cracked Roads"
Indoor Air Quality|Ventilation,Ventilation
Outdoor Dining|Site Setup Condition,Site Setup Condition
Damaged Tree|Entire Tree Has Fallen Down,Entire Tree Has Fallen Down
Noise - Commercial|Loud Talking,Loud Talking
Illegal Posting|Poster or Sign,Poster or Sign
Noise - House of Worship|Loud Music/Party,Loud Music/Party
Smoking or Vaping|Allowed in Smoke Free Area,Allowed in Smoke Free Area
Drinking|After Hours - Licensed Est,After Hours - Licensed Est
Illegal Parking|License Plate Obscured,License Plate Obscured
Illegal Parking|Detached Trailer,Detached Trailer
HEAT/HOT WATER|ENTIRE BUILDING,ENTIRE BUILDING
Traffic Signal Condition|Controller,Controller
Building Drinking Water Tank|Unsanitary Condition,Unsanitary Condition
Water System|Hydrant Running Full (WA4),Hydrant Running Full (WA4)
Noise - Park|Loud Music/Party,Loud Music/Party
PAINT/PLASTER|WALL,WALL
PLUMBING|BASIN/SINK,BASIN/SINK
FLOORING/STAIRS|FLOOR,FLOOR
UNSANITARY CONDITION|MOLD,MOLD
Rodent|Rat Sighting,Rat Sighting
Damaged Tree|Tree Trunk Split,Tree Trunk Split
Consumer Complaint|Landlord or Real Estate Agent,Landlord or Real Estate Agent
Maintenance or Facility|Structure - Outdoors,Structure - Outdoors
PAINT/PLASTER|CEILING,CEILING
Lead|Lead Kit Request (Residential) (L10),Lead Kit Request (Residential) (L10)
Noise|Noise: Alarms (NR3),Noise: Alarms (NR3)
Rodent|Condition Attracting Rodents,Condition Attracting Rodents
Obstruction|Cone,Cone
WATER LEAK|HEAVY FLOW,HEAVY FLOW
DOOR/WINDOW|WINDOW FRAME,WINDOW FRAME
GENERAL|CABINET,CABINET
APPLIANCE|REFRIGERATOR,REFRIGERATOR
Violation of Park Rules|Unsafe Use of Playground,Unsafe Use of Playground
Noise - Park|Loud Talking,Loud Talking
